,Year,Lake,Host.Species,Parasite.Species,Max.Prevalence,AUC.prev,AUC.prev2,Count.At.Max,dentifera.at.max,pulicaria.at.max,retrocurva.at.max,diluter.at.max,otherhost.at.max,richness.at.max,shannon.at.max
1,2014,Mill,ambigua,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
2,2014,Mill,ambigua,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
3,2014,Mill,ambigua,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
4,2014,Mill,ambigua,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
5,2014,Mill,ambigua,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
6,2014,Mill,ambigua,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
7,2014,Mill,ambigua,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
8,2014,Mill,ceriodaphnia,brood.prev,0.0719424460431655,27916.5,27916.5,278,13461.9,0,61840.6,61840.6,75442.7,4,0.907472997165972
9,2014,Mill,ceriodaphnia,gurleya.prev,0,27916.5,27916.5,152,25914.18,0,57549.64,57549.64,76480.42,3.4,0.880868872804324
10,2014,Mill,ceriodaphnia,larssonia.prev,0,27916.5,27916.5,152,25914.18,0,57549.64,57549.64,76480.42,3.4,0.880868872804324
11,2014,Mill,ceriodaphnia,metsch.prev,0,27916.5,27916.5,152,25914.18,0,57549.64,57549.64,76480.42,3.4,0.880868872804324
12,2014,Mill,ceriodaphnia,pasteuria.prev,0.00354609929078014,27916.5,27916.5,282,15986,0,24399.7,24399.7,95916,4,1.28002319504518
13,2014,Mill,ceriodaphnia,spider.prev,0,27916.5,27916.5,152,25914.18,0,57549.64,57549.64,76480.42,3.4,0.880868872804324
14,2014,Mill,ceriodaphnia,spiro.prev,0,27916.5,27916.5,152,25914.18,0,57549.64,57549.64,76480.42,3.4,0.880868872804324
15,2014,Mill,dentifera,brood.prev,0.00985221674876847,27916.5,27916.5,203,27344.5,0,46696,46696,46696,2,0.658591787636227
16,2014,Mill,dentifera,gurleya.prev,0,27916.5,27916.5,222.888888888889,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
17,2014,Mill,dentifera,larssonia.prev,0.00609756097560976,27916.5,27916.5,328,13461.9,0,61840.6,61840.6,75442.7,4,0.907472997165972
18,2014,Mill,dentifera,metsch.prev,0.00940438871473354,27916.5,27916.5,319,47537.4,0,43751.2,43751.2,44592.6,3,0.737941643655149
19,2014,Mill,dentifera,pasteuria.prev,0.0156739811912226,27916.5,27916.5,319,47537.4,0,43751.2,43751.2,44592.6,3,0.737941643655149
20,2014,Mill,dentifera,spider.prev,0,27916.5,27916.5,222.888888888889,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
21,2014,Mill,dentifera,spiro.prev,0,27916.5,27916.5,222.888888888889,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
22,2014,Mill,dubia,brood.prev,0.00704225352112676,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
23,2014,Mill,dubia,gurleya.prev,0,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
24,2014,Mill,dubia,larssonia.prev,0,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
25,2014,Mill,dubia,metsch.prev,0,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
26,2014,Mill,dubia,pasteuria.prev,0.112676056338028,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
27,2014,Mill,dubia,spider.prev,0,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
28,2014,Mill,dubia,spiro.prev,0,27916.5,27916.5,284,26923.8,0,115267.6,115267.6,141350,4,0.878422287873434
29,2014,Mill,mendotae,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
30,2014,Mill,mendotae,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
31,2014,Mill,mendotae,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
32,2014,Mill,mendotae,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
33,2014,Mill,mendotae,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
34,2014,Mill,mendotae,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
35,2014,Mill,mendotae,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
36,2014,Mill,parvula,brood.prev,0.0134529147982063,27916.5,27916.5,223,13461.9,0,61840.6,61840.6,75442.7,4,0.907472997165972
37,2014,Mill,parvula,gurleya.prev,0.00448430493273543,27916.5,27916.5,223,13461.9,0,61840.6,61840.6,75442.7,4,0.907472997165972
38,2014,Mill,parvula,larssonia.prev,0,27916.5,27916.5,127,16406.7,0,41227.05,41227.05,49009.7,4,0.887973196203491
39,2014,Mill,parvula,metsch.prev,0,27916.5,27916.5,127,16406.7,0,41227.05,41227.05,49009.7,4,0.887973196203491
40,2014,Mill,parvula,pasteuria.prev,0.0967741935483871,27916.5,27916.5,31,19351.5,0,20613.5,20613.5,22576.7,4,0.868473395241011
41,2014,Mill,parvula,spider.prev,0,27916.5,27916.5,127,16406.7,0,41227.05,41227.05,49009.7,4,0.887973196203491
42,2014,Mill,parvula,spiro.prev,0,27916.5,27916.5,127,16406.7,0,41227.05,41227.05,49009.7,4,0.887973196203491
43,2014,Mill,pulicaria,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
44,2014,Mill,pulicaria,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
45,2014,Mill,pulicaria,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
46,2014,Mill,pulicaria,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
47,2014,Mill,pulicaria,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
48,2014,Mill,pulicaria,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
49,2014,Mill,pulicaria,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
50,2014,Mill,retrocurva,brood.prev,0.0046189376443418,27916.5,27916.5,433,5609.1,0,58895.8,58895.8,58895.8,2,0.295438399422247
51,2014,Mill,retrocurva,gurleya.prev,0.00462962962962963,27916.5,27916.5,216,15986,0,24399.7,24399.7,95916,4,1.28002319504518
52,2014,Mill,retrocurva,larssonia.prev,0,27916.5,27916.5,316.333333333333,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
53,2014,Mill,retrocurva,metsch.prev,0.00467289719626168,27916.5,27916.5,214,13461.9,0,61840.6,61840.6,75442.7,4,0.907472997165972
54,2014,Mill,retrocurva,pasteuria.prev,0.193396226415094,27916.5,27916.5,212,19351.5,0,20613.5,20613.5,22576.7,4,0.868473395241011
55,2014,Mill,retrocurva,spider.prev,0,27916.5,27916.5,316.333333333333,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
56,2014,Mill,retrocurva,spiro.prev,0,27916.5,27916.5,316.333333333333,23199.9777777778,0,58802.3444444444,58802.3444444444,72435.6222222222,3.22222222222222,0.78947447046606
57,2014,Walsh,ambigua,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
58,2014,Walsh,ambigua,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
59,2014,Walsh,ambigua,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
60,2014,Walsh,ambigua,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
61,2014,Walsh,ambigua,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
62,2014,Walsh,ambigua,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
63,2014,Walsh,ambigua,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
64,2014,Walsh,ceriodaphnia,brood.prev,0.0481283422459893,27916.5,27916.5,187,46275.3,0,280.5,280.5,13882.6,4,0.70093500833143
65,2014,Walsh,ceriodaphnia,gurleya.prev,0,27916.5,27916.5,142.4,133020.44,0,112.2,112.2,11498.72,3,0.319067420167013
66,2014,Walsh,ceriodaphnia,larssonia.prev,0,27916.5,27916.5,142.4,133020.44,0,112.2,112.2,11498.72,3,0.319067420167013
67,2014,Walsh,ceriodaphnia,metsch.prev,0,27916.5,27916.5,142.4,133020.44,0,112.2,112.2,11498.72,3,0.319067420167013
68,2014,Walsh,ceriodaphnia,pasteuria.prev,0.004739336492891,27916.5,27916.5,211,230535.1,0,0,0,25030.8,3,0.377558147887081
69,2014,Walsh,ceriodaphnia,spider.prev,0,27916.5,27916.5,142.4,133020.44,0,112.2,112.2,11498.72,3,0.319067420167013
70,2014,Walsh,ceriodaphnia,spiro.prev,0,27916.5,27916.5,142.4,133020.44,0,112.2,112.2,11498.72,3,0.319067420167013
71,2014,Walsh,dentifera,brood.prev,0.00210748155953635,27916.5,27916.5,949,230535.1,0,0,0,25030.8,3,0.377558147887081
72,2014,Walsh,dentifera,gurleya.prev,0,27916.5,27916.5,371,98557.0333333333,0,155.822222222222,155.822222222222,6598.52222222222,2.44444444444444,0.197742759281467
73,2014,Walsh,dentifera,larssonia.prev,0,27916.5,27916.5,371,98557.0333333333,0,155.822222222222,155.822222222222,6598.52222222222,2.44444444444444,0.197742759281467
74,2014,Walsh,dentifera,metsch.prev,0.00483091787439614,27916.5,27916.5,207,48799.4,0,0,0,0,1,0
75,2014,Walsh,dentifera,pasteuria.prev,0.018957345971564,27916.5,27916.5,211,47116.7,0,0,0,1682.7,2,0.149992333529247
76,2014,Walsh,dentifera,spider.prev,0.00966183574879227,27916.5,27916.5,207,48799.4,0,0,0,0,1,0
77,2014,Walsh,dentifera,spiro.prev,0.00418410041841004,27916.5,27916.5,239,17248.1,0,0,0,0,1,0
78,2014,Walsh,dubia,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
79,2014,Walsh,dubia,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
80,2014,Walsh,dubia,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
81,2014,Walsh,dubia,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
82,2014,Walsh,dubia,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
83,2014,Walsh,dubia,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
84,2014,Walsh,dubia,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
85,2014,Walsh,mendotae,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
86,2014,Walsh,mendotae,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
87,2014,Walsh,mendotae,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
88,2014,Walsh,mendotae,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
89,2014,Walsh,mendotae,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
90,2014,Walsh,mendotae,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
91,2014,Walsh,mendotae,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
92,2014,Walsh,parvula,brood.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
93,2014,Walsh,parvula,gurleya.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
94,2014,Walsh,parvula,larssonia.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
95,2014,Walsh,parvula,metsch.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
96,2014,Walsh,parvula,pasteuria.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
97,2014,Walsh,parvula,spider.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
98,2014,Walsh,parvula,spiro.prev,0,27916.5,27916.5,103,141770.666666667,0,93.5,93.5,14022.8333333333,3.33333333333333,0.398006673313171
99,2014,Walsh,pulicaria,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
100,2014,Walsh,pulicaria,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
101,2014,Walsh,pulicaria,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
102,2014,Walsh,pulicaria,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
103,2014,Walsh,pulicaria,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
104,2014,Walsh,pulicaria,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
105,2014,Walsh,pulicaria,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
106,2014,Walsh,retrocurva,brood.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
107,2014,Walsh,retrocurva,gurleya.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
108,2014,Walsh,retrocurva,larssonia.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
109,2014,Walsh,retrocurva,metsch.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
110,2014,Walsh,retrocurva,pasteuria.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
111,2014,Walsh,retrocurva,spider.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
112,2014,Walsh,retrocurva,spiro.prev,NA,27916.5,27916.5,NA,NA,NA,NA,NA,NA,NA,NA
113,2014,Cedar,ambigua,brood.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
114,2014,Cedar,ambigua,gurleya.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
115,2014,Cedar,ambigua,larssonia.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
116,2014,Cedar,ambigua,metsch.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
117,2014,Cedar,ambigua,pasteuria.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
118,2014,Cedar,ambigua,spider.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
119,2014,Cedar,ambigua,spiro.prev,NA,28448,28448,NA,NA,NA,NA,NA,NA,NA,NA
120,2014,Cedar,ceriodaphnia,brood.prev,0,28448,28448,64.3333333333333,73530.6,2651.66666666667,13855.6666666667,16507.3333333333,20936.3666666667,5,0.684387898930727
121,2014,Cedar,ceriodaphnia,gurleya.prev,0,28448,28448,64.3333333333333,73530.6,2651.66666666667,13855.6666666667,16507.3333333333,20936.3666666667,5,0.684387898930727
122,2014,Cedar,ceriodaphnia,larssonia.prev,0,28448,28448,64.3333333333333,73530.6,2651.66666666667,13855.6666666667,16507.3333333333,20936.3666666667,5,0.684387898930727
123,2014,Cedar,ceriodaphnia,metsch.prev,0,28448,28448,64.3333333333333,73530.6,2651.66666666667,13855.6666666667,16507.3333333333,20936.3666666667,5,0.684387898930727
