Host.Species,Lake,Year,Julian.Day,Julian,Date,Date2,Total,Uninfected.Adult,Uninfected.Juv,Uninfected.Males,Uninfected.Ephip,pasteuria.inf,metsch.inf,spiro.inf,brood.inf,larssonia.inf,spider.inf,gurleya.inf,caullerya.inf,micG.inf,coke.inf,pasteuria.prev,metsch.prev,spiro.prev,brood.prev,larssonia.prev,spider.prev,gurleya.prev,caullerya.prev,micG.prev,coke.prev,Host.Density,Total.Density,Dentifera.density,Pulicaria.density,Retrocurva.density,Ceriodaphnia.density,Dubia.density,Parvula.density,Ambigua.density,Mendotae.density
pulicaria,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,247,84,160,3,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,45433.9,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
pulicaria,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,403,136,267,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,67870.4,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
pulicaria,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,200,62,138,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,18930.8,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
pulicaria,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,215,82,132,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,0,0,0,0,0,0.004651163,NA,NA,NA,14303.3,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
pulicaria,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,347,64,280,0,0,0,0,0,1,0,0,2,NA,NA,NA,0,0,0,0.002881844,0,0,0.005763689,NA,NA,NA,8413.7,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
pulicaria,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,91,43,46,2,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,2944.8,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
retrocurva,Appleton,2014,2014199,199,18-Jul-14,7/18/2014,258,100,154,0,0,0,0,0,4,0,0,0,NA,NA,NA,0,0,0,0.015503876,0,0,0,NA,NA,NA,8413.7,87222,50762.6,27765.2,8413.7,0,280.5,0,0,0
retrocurva,Appleton,2014,2014212,212,31-Jul-14,7/31/2014,164,69,90,0,0,0,0,5,0,0,0,0,NA,NA,NA,0,0,0.030487805,0,0,0,0,NA,NA,NA,9535.5,94457.7,24063.2,58895.8,9535.5,0,1963.2,0,0,0
retrocurva,Appleton,2014,2014225,225,13-Aug-14,8/13/2014,61,44,16,0,0,0,0,1,0,0,0,0,NA,NA,NA,0,0,0.016393443,0,0,0,0,NA,NA,NA,11358.5,90447.2,32392.7,45433.9,11358.5,0,1262.1,0,0,0
retrocurva,Appleton,2014,2014240,240,28-Aug-14,8/28/2014,143,88,51,0,0,2,0,1,1,0,0,0,NA,NA,NA,0.013986014,0,0.006993007,0.006993007,0,0,0,NA,NA,NA,12199.9,122279,39123.7,67870.4,12199.9,0,3085,0,0,0
retrocurva,Appleton,2014,2014255,255,12-Sep-14,9/12/2014,97,49,43,0,0,5,0,0,0,0,0,0,NA,NA,NA,0.051546392,0,0,0,0,0,0,NA,NA,NA,2804.6,43330.6,20753.8,18930.8,2804.6,0,841.4,0,0,0
retrocurva,Appleton,2014,2014269,269,26-Sep-14,9/26/2014,217,104,111,0,0,1,0,0,1,0,0,0,NA,NA,NA,0.004608295,0,0,0.004608295,0,0,0,NA,NA,NA,9255.1,43470.8,12620.5,14303.3,9255.1,0,7291.9,0,0,0
retrocurva,Appleton,2014,2014280,280,7-Oct-14,10/7/2014,192,113,77,0,0,2,0,0,0,0,0,0,NA,NA,NA,0.010416667,0,0,0,0,0,0,NA,NA,NA,5384.8,25409.4,8918.5,8413.7,5384.8,0,2692.4,0,0,0
retrocurva,Appleton,2014,2014297,297,24-Oct-14,10/24/2014,226,99,104,20,2,1,0,0,0,0,0,0,NA,NA,NA,0.004424779,0,0,0,0,0,0,NA,NA,NA,12620.5,28957,10657.3,2944.8,12620.5,0,2734.4,0,0,0
retrocurva,Appleton,2014,2014308,308,4-Nov-14,11/4/2014,262,107,109,43,2,0,0,0,1,0,0,0,NA,NA,NA,0,0,0,0.003816794,0,0,0,NA,NA,NA,0,45433.9,9255.1,33093.8,0,560.9,2524.1,0,0,0
ambigua,Bishop,2014,2014199,199,18-Jul-14,7/18/2014,10,7,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286.7,153511.3,16340.1,2293.4,125991,0,8600.1,0,286.7,0
ambigua,Bishop,2014,2014212,212,31-Jul-14,7/31/2014,3,2,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,860,142761.2,9460.1,860,120831,0,10750.1,0,860,0
ambigua,Bishop,2014,2014225,225,13-Aug-14,8/13/2014,12,9,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,89010.8,7310.1,430,67940.6,0,13330.1,0,0,0
ambigua,Bishop,2014,2014240,240,28-Aug-14,8/28/2014,7,4,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,344,94572.1,19780.2,516,57333.8,3268,13330.1,0,344,0
ambigua,Bishop,2014,2014255,255,12-Sep-14,9/12/2014,15,8,7,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573.3,78690.6,22933.5,573.3,36980.3,8600.1,9030.1,0,573.3,0
ambigua,Bishop,2014,2014269,269,26-Sep-14,9/26/2014,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,31963.6,22790.2,0,4873.4,2580,1720,0,0,0
ambigua,Bishop,2014,2014280,280,7-Oct-14,10/7/2014,29,18,11,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,860,150931.3,73100.6,286.7,45150.4,20640.2,10893.4,0,860,0
