"","(Intercept)","age","line","age:line","bodysize","gutcellwidth","family","df","logLik","AICc","delta","weight"
"model2",-2.38042306611578,"+","+",NA,NA,NA,"poisson(log)",6,-20.2459028395869,56.1439795922173,0,0.557189824276556
"model20",-13.4120876388588,NA,"+",NA,0.00601209319234003,-0.012324846445305,"poisson(log)",6,-21.0603388596955,57.7728516324344,1.62887204021713,0.246773264950922
"model21",-5.12224980688404,"+","+",NA,NA,0.134404214076713,"poisson(log)",7,-19.5711457610677,58.2332006130446,2.0892210208273,0.196035441934389
"model",-20.3025850992269,"+","+","+",NA,NA,"poisson(log)",12,-19.7417087639274,81.8363587043253,25.692379112108,1.46883813280052e-06
