PulicariaLine,Treatment,Parasite,Beaker,Infected
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Clear5,diluter,Pasteuria,,0
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,1
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
Control,control,Pasteuria,,0
