cond((Int)),disp((Int)),cond(mean.Aug.dentifera.density_z),cond(mean.Aug.pulicaria.density_z),cond(mean.Aug.retrocurva.density_z),cond(mean.Aug.richness_z),df,logLik,AICc,delta,weight
-2.94579370463604,+,0.480359114917437,NA,NA,NA,5,-190.937797725998,393.007670923694,0,NA
-2.95635186930286,+,0.444530670993584,-0.154306174912013,NA,NA,6,-190.341670714778,394.29872604494,1.29105512124551,NA
-2.94850344732513,+,0.488914830304203,NA,NA,0.0514859711581245,6,-190.855227445454,395.325839506293,2.31816858259918,NA
-2.95155634921699,+,0.516411528029685,NA,0.053154940566956,NA,6,-190.86485498085,395.345094577085,2.33742365339083,NA
-2.96518594418711,+,0.453395594425618,-0.197575127102504,NA,0.111782607623669,7,-189.99445257646,396.184983584292,3.17731266059747,NA
-2.96545370753391,+,0.493300771478908,-0.164954424954758,0.0748908853372856,NA,7,-190.194497990757,396.585074412886,3.57740348919214,NA
