(Intercept),mean.dentifera.density_z,mean.pulicaria.density_z,mean.retrocurva.density_z,species.richness_z,df,logLik,AICc,delta,weight
0.713874419370891,0.259859915471068,NA,NA,NA,5,-62.6997750862143,130.8322442805,0,0.361632825835385
0.712428706458416,0.297223029771095,NA,0.0662117282153887,NA,6,-63.8316974788687,132.915508690249,2.08326440974909,0.127612355854126
0.713696107661278,0.257660887563701,NA,NA,-0.0369425015011289,6,-64.0917901759712,133.154678355,2.32243407449985,0.113229005644997
0.713883613970229,0.25996972982324,0.000606167621855986,NA,NA,6,-64.142184718059,133.325413759979,2.49316947947875,0.103963997785599
0.730558670328945,NA,NA,NA,NA,4,-63.9355670013837,134.045893426553,3.21364914605317,0.0725158262240135
